Imatest,5.0.5, , Stepchart
Title,10.jpg
Run date,06-Jan-2022 15:51:10,,Build 2017-11-03
File name,10.jpg

Zones,20

Pixel offset,0

Log exposure and analysis levels (Luminance (Y) channel for color images)
Zone,Pixel,Pixel/255,Log(exp),Log(px/255),Width px,Height px,Pixels total,Lux (patch),
 1,  209.2, 0.8202, -0.0500, -0.0861,39,116,4524
 2,  189.9, 0.7447, -0.1500, -0.1280,39,116,4524
 3,  169.0, 0.6626, -0.2500, -0.1787,39,116,4524
 4,  152.5, 0.5980, -0.3500, -0.2233,39,116,4524
 5,  132.4, 0.5191, -0.4500, -0.2848,39,116,4524
 6,  116.9, 0.4585, -0.5500, -0.3386,39,116,4524
 7,  100.9, 0.3957, -0.6500, -0.4026,39,116,4524
 8,   88.2, 0.3460, -0.7500, -0.4610,39,116,4524
 9,   74.9, 0.2938, -0.8500, -0.5319,39,116,4524
10,   64.9, 0.2545, -0.9500, -0.5942,39,116,4524
11,   55.2, 0.2165, -1.0500, -0.6646,39,116,4524
12,   46.7, 0.1830, -1.1500, -0.7376,39,116,4524
13,   40.0, 0.1567, -1.2500, -0.8048,39,116,4524
14,   35.3, 0.1384, -1.3500, -0.8589,39,116,4524
15,   29.9, 0.1173, -1.4500, -0.9308,39,116,4524
16,   25.4, 0.0996, -1.5500, -1.0018,39,116,4524
17,   21.9, 0.0860, -1.6500, -1.0655,39,116,4524
18,   20.5, 0.0805, -1.7500, -1.0944,39,116,4524
19,   18.7, 0.0734, -1.8500, -1.1343,39,116,4524
20,   18.6, 0.0729, -1.9500, -1.1373,38,116,4408

'Densities' are -log10(normalized pixel levels) for Y R G and B channels; RGBY means and medians are in pixels (max 255).
Zone,(-)Log(exp),Y-density,R-density,G-density,B-density,Y-mean, R-mean, G-mean, B-mean, Y-median, R-median, G-med1an, B-median
 1,  0.0500,  0.0861,  0.0842,  0.0869,  0.0820, 209.2, 210.1, 208.8, 211.1, 209.1, 210.0, 209.0, 211.0
 2,  0.1500,  0.1280,  0.1222,  0.1293,  0.1316, 189.9, 192.5, 189.4, 188.3, 189.8, 193.0, 189.0, 188.0
 3,  0.2500,  0.1787,  0.1734,  0.1805,  0.1758, 169.0, 171.1, 168.3, 170.1, 168.9, 171.0, 168.0, 170.0
 4,  0.3500,  0.2233,  0.2175,  0.2255,  0.2179, 152.5, 154.5, 151.7, 154.4, 152.6, 154.0, 152.0, 154.0
 5,  0.4500,  0.2848,  0.2856,  0.2844,  0.2793, 132.5, 132.1, 132.5, 134.0, 132.5, 132.0, 133.0, 134.0
 6,  0.5500,  0.3386,  0.3386,  0.3383,  0.3340, 117.1, 116.9, 117.0, 118.2, 117.1, 117.0, 117.0, 118.0
 7,  0.6500,  0.4026,  0.4006,  0.4035,  0.3993, 100.9, 101.4, 100.7, 101.7, 101.0, 101.0, 101.0, 102.0
 8,  0.7500,  0.4610,  0.4598,  0.4613,  0.4478,  88.4,  88.5,  88.2,  90.9,  88.1,  89.0,  88.0,  91.0
 9,  0.8500,  0.5319,  0.5368,  0.5310,  0.5156,  75.1,  74.1,  75.1,  77.8,  75.1,  74.0,  75.0,  78.0
10,  0.9500,  0.5942,  0.5992,  0.5925,  0.5818,  65.1,  64.2,  65.2,  66.8,  65.1,  64.0,  65.0,  67.0
11,  1.0500,  0.6646,  0.6699,  0.6625,  0.6503,  55.4,  54.5,  55.5,  57.0,  55.1,  55.0,  56.0,  57.0
12,  1.1500,  0.7376,  0.7496,  0.7352,  0.7205,  46.7,  45.4,  46.9,  48.5,  46.9,  46.0,  47.0,  49.0
13,  1.2500,  0.8048,  0.8121,  0.8054,  0.7797,  40.0,  39.3,  39.9,  42.4,  39.9,  39.0,  40.0,  42.0
14,  1.3500,  0.8589,  0.8707,  0.8611,  0.8400,  35.1,  34.3,  35.1,  36.9,  35.1,  34.0,  35.0,  37.0
15,  1.4500,  0.9308,  0.9440,  0.9288,  0.9040,  30.0,  29.0,  30.0,  31.8,  30.1,  29.0,  30.0,  32.0
16,  1.5500,  1.0018,  1.0176,  1.0024,  0.9641,  25.3,  24.5,  25.4,  27.7,  25.5,  25.0,  26.0,  28.0
17,  1.6500,  1.0655,  1.0816,  1.0709,  1.0198,  21.7,  21.1,  21.7,  24.4,  21.9,  21.0,  22.0,  24.0
18,  1.7500,  1.0944,  1.0990,  1.0984,  1.0383,  20.5,  20.3,  20.3,  23.3,  20.6,  20.0,  20.0,  23.0
19,  1.8500,  1.1343,  1.1429,  1.1412,  1.0922,  18.6,  18.3,  18.4,  20.6,  18.1,  18.0,  18.0,  20.0
20,  1.9500,  1.1373,  1.1321,  1.1448,  1.0807,  18.6,  18.8,  18.3,  21.2,  18.5,  19.0,  18.0,  21.0

Zone,(-)Log(exp),Y-slope,R-slope,G-slope,B-slope
 1,  0.050,  0.419,  0.380,  0.424,  0.496
 2,  0.150,  0.463,  0.446,  0.468,  0.469
 3,  0.250,  0.477,  0.477,  0.481,  0.431
 4,  0.350,  0.530,  0.561,  0.520,  0.517
 5,  0.450,  0.577,  0.605,  0.564,  0.581
 6,  0.550,  0.589,  0.575,  0.595,  0.600
 7,  0.650,  0.612,  0.606,  0.615,  0.569
 8,  0.750,  0.646,  0.681,  0.638,  0.582
 9,  0.850,  0.666,  0.697,  0.656,  0.670
10,  0.950,  0.663,  0.665,  0.657,  0.673
11,  1.050,  0.717,  0.752,  0.714,  0.694
12,  1.150,  0.701,  0.711,  0.715,  0.647
13,  1.250,  0.606,  0.606,  0.629,  0.597
14,  1.350,  0.630,  0.660,  0.617,  0.622
15,  1.450,  0.714,  0.734,  0.707,  0.620
16,  1.550,  0.674,  0.688,  0.710,  0.579
17,  1.650,  0.463,  0.407,  0.480,  0.371
18,  1.750,  0.344,  0.306,  0.352,  0.362
19,  1.850,  0.214,  0.165,  0.232,  0.212

Noise (normalized to 1.5 density range and maximum) and f-stop noise and SNR (scene-referenced). This table changed in Imatest 3.9: added line and fields.
,Noise norml to 1.5 density range (B-E);,,,,Noise normalized to maximum (F-I);,,,,,f-stop noise (scene-referenced) (K-N);,,,,f-stop Signal/Noise (scene-ref) (O-R)
Zone,Y-noise,R-noise,G-noise,B-noise,Y-noise,R-noise,G-noise,B-noise,,Y-fstopN,R-fstopN,G-fstopN,B-fstopN,Y-fst_S/N,R-fst_S/N,G-fst_S/N,B-fst_S/N
 1,   1.236,  1.279,  1.242,  1.299,   0.891,  0.922,  0.895,  0.936,,   0.0304,  0.0315,  0.0306,  0.0320,    32.88,   31.77,   32.71,   31.28
 2,   1.322,  1.424,  1.322,  1.375,   0.952,  1.026,  0.953,  0.991,,   0.0383,  0.0413,  0.0383,  0.0399,    26.10,   24.22,   26.09,   25.09
 3,   1.572,  1.620,  1.573,  1.643,   1.133,  1.168,  1.134,  1.184,,   0.0579,  0.0597,  0.0580,  0.0606,    17.26,   16.75,   17.25,   16.51
 4,   1.526,  1.639,  1.517,  1.601,   1.100,  1.181,  1.093,  1.154,,   0.0563,  0.0605,  0.0560,  0.0591,    17.76,   16.54,   17.86,   16.92
 5,   1.774,  1.790,  1.775,  1.852,   1.279,  1.290,  1.280,  1.335,,   0.0630,  0.0636,  0.0630,  0.0658,    15.88,   15.73,   15.86,   15.21
 6,   1.819,  1.831,  1.819,  1.895,   1.311,  1.320,  1.311,  1.366,,   0.0700,  0.0704,  0.0699,  0.0729,    14.30,   14.20,   14.30,   13.72
 7,   1.494,  1.532,  1.499,  1.558,   1.077,  1.104,  1.081,  1.123,,   0.0633,  0.0649,  0.0635,  0.0660,    15.80,   15.41,   15.75,   15.16
 8,   1.435,  1.444,  1.447,  1.478,   1.034,  1.041,  1.043,  1.065,,   0.0676,  0.0680,  0.0682,  0.0696,    14.80,   14.70,   14.67,   14.37
 9,   1.559,  1.556,  1.560,  1.659,   1.123,  1.121,  1.124,  1.195,,   0.0823,  0.0822,  0.0824,  0.0876,    12.15,   12.17,   12.14,   11.41
10,   1.739,  1.767,  1.749,  1.765,   1.253,  1.273,  1.261,  1.272,,   0.1041,  0.1058,  0.1048,  0.1057,     9.60,    9.45,    9.54,    9.46
11,   1.583,  1.580,  1.606,  1.553,   1.140,  1.138,  1.157,  1.119,,   0.1090,  0.1088,  0.1106,  0.1070,     9.17,    9.19,    9.04,    9.35
12,   1.656,  1.766,  1.645,  1.773,   1.194,  1.273,  1.186,  1.278,,   0.1351,  0.1440,  0.1342,  0.1446,     7.40,    6.94,    7.45,    6.91
13,   1.627,  1.652,  1.632,  1.656,   1.172,  1.191,  1.176,  1.193,,   0.1595,  0.1620,  0.1600,  0.1624,     6.27,    6.17,    6.25,    6.16
14,   1.627,  1.679,  1.624,  1.746,   1.173,  1.210,  1.170,  1.258,,   0.1874,  0.1933,  0.1870,  0.2011,     5.34,    5.17,    5.35,    4.97
15,   1.844,  1.918,  1.835,  1.983,   1.329,  1.382,  1.323,  1.429,,   0.2456,  0.2555,  0.2445,  0.2642,     4.07,    3.91,    4.09,    3.78
16,   1.770,  1.807,  1.767,  1.858,   1.276,  1.302,  1.273,  1.339,,   0.2897,  0.2957,  0.2891,  0.3042,     3.45,    3.38,    3.46,    3.29
17,   1.662,  1.710,  1.666,  1.712,   1.198,  1.232,  1.200,  1.233,,   0.3866,  0.3978,  0.3876,  0.3982,     2.59,    2.51,    2.58,    2.51
18,   1.625,  1.663,  1.632,  1.648,   1.171,  1.198,  1.176,  1.188,,   0.6121,  0.6264,  0.6150,  0.6210,     1.63,    1.60,    1.63,    1.61
19,   1.794,  1.840,  1.788,  1.823,   1.293,  1.326,  1.288,  1.314,,   0.9777,  1.0028,  0.9743,  0.9937,     1.02,    1.00,    1.03,    1.01
20,   1.653,  1.681,  1.659,  1.639,   1.191,  1.212,  1.196,  1.181,,   0.9373,  0.9536,  0.9410,  0.9295,     1.07,    1.05,    1.06,    1.08

S/N (signal/noise) and SNR(dB) (20*log10(signal/noise)) for each patch
Zone,Y-S/N,R-S/N,G-S/N,B-S/N,Y-SNR(dB),R-SNR(dB),G-SNR(dB),B-SNR(dB),Lux (patch)
 1,  92.102,  89.385,  91.448,  88.439, 39.285, 39.025, 39.223, 38.933
 2,  78.187,  73.540,  77.923,  74.537, 37.863, 37.330, 37.833, 37.447
 3,  58.497,  57.457,  58.213,  56.343, 35.343, 35.187, 35.300, 35.017
 4,  54.361,  51.313,  54.413,  52.467, 34.706, 34.205, 34.714, 34.398
 5,  40.600,  40.158,  40.599,  39.387, 32.171, 32.076, 32.170, 31.907
 6,  34.970,  34.751,  35.009,  33.928, 30.874, 30.819, 30.884, 30.611
 7,  36.743,  35.997,  36.548,  35.519, 31.304, 31.125, 31.257, 31.009
 8,  33.454,  33.328,  33.144,  33.486, 30.489, 30.456, 30.408, 30.497
 9,  26.161,  25.909,  26.199,  25.522, 28.353, 28.269, 28.366, 28.138
10,  20.312,  19.760,  20.270,  20.590, 26.155, 25.916, 26.137, 26.273
11,  18.982,  18.787,  18.802,  19.990, 25.567, 25.477, 25.484, 26.016
12,  15.329,  13.988,  15.518,  14.894, 23.710, 22.915, 23.817, 23.460
13,  13.371,  12.945,  13.309,  13.918, 22.523, 22.242, 22.483, 22.872
14,  11.800,  11.132,  11.765,  11.486, 21.437, 20.931, 21.412, 21.203
15,   8.826,   8.230,   8.908,   8.726, 18.915, 18.308, 18.995, 18.817
16,   7.807,   7.376,   7.811,   8.111, 17.849, 17.356, 17.854, 18.182
17,   7.181,   6.726,   7.076,   7.745, 17.124, 16.555, 16.996, 17.781
18,   6.872,   6.644,   6.777,   7.707, 16.742, 16.449, 16.621, 17.738
19,   5.677,   5.426,   5.608,   6.155, 15.083, 14.690, 14.975, 15.784
20,   6.121,   6.088,   5.992,   7.031, 15.736, 15.690, 15.552, 16.940

,R,G,B,Y,Notes
SNR_BW (dB; RGBY), 36.8, 36.8, 36.6, 36.9,White-Black SNR (W-B density difference = 1.5), 20*log10((W-B)/(mid level noise))
SNR Dnom=0.7, 30.8, 30.9, 30.6, 30.9,Patch,6

Dynamic Range in f-stops (EV): total and for quality levels corresponding to SNR = 1/f-stop noise
Noise max f-stops,Quality,DR (f-stops)
,Total (slope-based),6.19
,Distinct steps,6.31
0.5,Medium,5.48
0.25,M-H,4.68
0.1,High,2.93

Gamma, 0.586,1/1.71
Exposure error (f-stops),-0.56
Density step, 0.1
Image WxH pixels,4160,3120
Crop WxH pixels,3192,286
Region W H Area pixels,    39,   116,    4524
Avg. noise (zones 2-15) RGBY %,  1.66,  1.61,  1.68,  1.61
Detected zones<0.98,20, good contrast
Detected_Patches_Skype_Dyn_Rng,17
Skype Dynamic Range linear,16, (Skype spec 5.0)
Skype Dynamic Range log,19, (better)

Exif data











